Kingdom	Phylum	Class	Order	Family	Genus	C1_A	C10_A	C10_B	C10_C	C11_A	C11_B	C11_C	C12_A	C12_B	C12_C	C2_A	C2_B	C2_C	C3_A	C3_B	C4_A	C4_B	C4_C	C5_A	C5_B	C5_C	C6_B	C6_C	C7_A	C7_B	C7_C	C8_A	C8_B	C8_C	C9_A	C9_B	C9_C	J1_A	J1_B	J1_C	J10_A	J10_B	J10_C	J11_A	J11_B	J11_C	J12_A	J12_B	J12_C	J13_A	J13_B	J13_C	J14_A	J14_B	J14_C	J15_A	J15_B	J15_C	J16_A	J16_B	J16_C	J17_A	J17_B	J17_C	J18_A	J18_B	J18_C	J19_A	J19_B	J19_C	J2_A	J2_B	J2_C	J20_A	J20_B	J20_C	J21_A	J21_B	J21_C	J22_A	J22_B	J22_C	J23_A	J23_B	J23_C	J24_A	J24_B	J24_C	J3_A	J3_B	J3_C	J4_A	J4_B	J4_C	J5_A	J5_B	J5_C	J6_A	J6_B	J6_C	J7_A	J7_B	J7_C	J8_A	J8_B	J8_C	J9_A	J9_B	J9_C	M1_A	M1_B	M1_C	M10_A	M10_B	M10_C	M11_A	M11_B	M11_C	M12_A	M12_B	M12_C	M2_A	M2_B	M2_C	M3_A	M3_B	M3_C	M4_A	M4_B	M4_C	M5_A	M5_B	M5_C	M6_B	M6_C	M7_A	M7_B	M7_C	M8_A	M8_B	M8_C	M9_A	M9_B	M9_C
Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	33	806	186	87	156	291	134	212	151	119	0	65	62	0	0	0	11	0	0	12	0	0	125	21	36	368	218	0	59	60	99	76	75
Fungi	Basidiomycota	Microbotryomycetes;__;__;__	Microbotryomycetes;__;__;__	Microbotryomycetes;__;__;__	Microbotryomycetes;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	246	50	140	267	27	14	51	108	144	181	5	7	32	149	305	128	330	113	234	212	414	454	191	369	541	27	29	135	64	194	206	25	50	121	23	173	601	199	292	202	60	173	378	117	299	85	163	120	118	94	18	202	41	104	104	32	77	141	271	480	671	182	175	77	29	108	370	42	199	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiales	Leucosporidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	68	151	51	199	200	85	124	85	95	51	165	43	741	300	789	0	13	30	32	0	0	0	7	0	0	0	0	53	0	4	128	40	59	21	3	15	45	39	0	180	828	166	568	47	124	105	106	0	18	26	50	33	41	39	87	44	29	351	402	204	186	107	39	0	22	0	73	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales;__;__	Sporidiobolales;__;__	Sporidiobolales;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	114	277	103	57	108	146	117	70	22	62	26	439	59	56	113	103	69	402	88	427	191	70	191	138	182	43	137	345	222	534	163	68	190	198	310	281	328	62	325	401	60	73	200	48	256	913	68	42	101	0	158	156	46	46	71	74	147	216	64	253	172	119	209	260	61	108	130	36	104	165	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	7	0	0	0	7	4	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	80	0	6	0	0	215	55	139	7	115	74	11	0	80	14	274	62	86	65	15	0	0	0	228	51	31	2	0	0	45	16	0	0	7	0	0	22	118	92	68
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales	Sporidiobolales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	63	0	67	65	82	15	0	0	306	380	287	0	0	0	637	256	503	0	0	0	49	0	0	0	0	0	0	0	0	260	0	0	286	75	53	0	0	0	0	24	0	69	245	0	338	62	53	212	340	0	39	21	0	230	166	462	267	187	96	365	311	103	450	459	157	0	58	0	67	0	0	0	0	0	0	4	0	0	0	0	0	96	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	4	0	0	0	0	0	0
Fungi	Basidiomycota	Pucciniomycetes	Helicobasidiales	Helicobasidiaceae	Tuberculina	49	38	11	0	0	0	0	47	56	36	75	25	12	6	51	0	0	3	0	0	0	31	34	301	165	66	51	18	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Pucciniomycetes	Platygloeales;__;__	Platygloeales;__;__	Platygloeales;__;__	0	0	0	0	0	0	0	0	0	36	0	0	0	10	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	27	29	0	12	36	57	0	74	52	65	19	0	0	34	20	93	886	0	177	185	22	95	69	87	0	50	92	41	26	32	24	32	44	0	61	12	0	70	0	25	274	116	21	14	54	0	14	57	0	0	21	0	17	23	49	24	28	59	0	0	0	11	12	14	16	11	0	37	52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Pucciniomycetes	Platygloeales	Eocronartiaceae	Eocronartium	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	15	0	0	0	0	0	0	0	0	0	0	42	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Tremellomycetes;__;__;__	Tremellomycetes;__;__;__	Tremellomycetes;__;__;__	Tremellomycetes;__;__;__	0	17	0	0	114	33	17	9	18	55	63	8	28	0	17	0	12	0	0	0	0	0	16	4	0	0	32	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	53	15	0	0	20	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	21	61	26	0	0	6	11	8	0	0	0	0	0	0	0	6	0	6	0	0	3	0	0	0	0	0	5	0	0	0	0	0	9	26	118	41	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	34	0	0	27	6	25	80	0	0	6	1327	228	350
Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	32	8	0	0	0	0	0	18	22	11	0	0	0	20	0	0	11	0	0	0	3	0	0	0	31	41	35	0	5	409	0	23	8	10	0	0	0	6	0	0	0	0	11	152	10622	0	0	0	0	0	0	105	18	15	0	0	0	16	11	25	234	0	0	19	0	0	41	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Tremellomycetes	Tremellales;__;__	Tremellales;__;__	Tremellales;__;__	15	20	28	35	36	0	15	3	0	4	8	0	8	11	6	5	9	40	22	20	57	0	8	0	17	0	0	0	0	19	0	0	540	450	31	317	296	503	451	365	185	296	265	255	899	511	157	1981	352	260	221	72	163	110	26	52	153	215	52	218	420	376	170	103	169	575	413	838	186	227	105	877	1429	65	452	773	105	257	209	72	282	538	55	583	367	897	484	630	736	452	1004	377	148	197	171	724	558	261	383	477	108	236	824	182	0	276	219	23	17	22	0	0	11	4	0	0	0	34	27	0	9	0	0	4	0	0	0	0	3	61	0	6	0	0	0	8	77	109	7
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	8	33	194	0	57	0	12	7	126	337	0	4	6	0	138	0	36	0	24	7	0	18	26	203	279	147	17	31	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5569	2435	11	47	89	0	0	0	16	120	37	48	14	162	0	19	0	0	24	0	28	0	0	246	197	9	38	56	0	0	0	55	91	104
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	0	8	33	15	13	0	0	0	0	52	0	6	20	0	5	0	0	0	7	0	0	9	0	16	17	0	22	24	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	618	48	109	189	4	30	116	45	197	71	45	258	0	0	29	37	0	2	0	10	0	9	50	445	17	41	43	20	12	124	143	702	191
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	0	4	64	0	126	84	36	0	25	84	11	46	8	7	14	0	0	0	14	37	41	20	0	18	12	36	89	44	6	0	4	0	73	65	80	0	0	8	0	6	4	5	0	0	64	27	0	15	0	0	0	30	0	0	0	0	0	0	0	18	69	14	0	20	0	37	12	0	0	0	0	10	7	10	0	18	0	0	11	9	0	14	11	22	14	4	13	0	10	0	6	0	0	0	0	38	90	21	17	20	0	0	0	0	0	443	460	13	141	89	25	12	243	46	238	88	28	42	15	0	32	70	20	0	0	56	0	0	110	86	35	160	103	64	38	67	287	663	315
